,complexTypeName,complexType,complexName,complexNo,totalHouseHoldCount,totalDongCount,useApproveYmd,minArea,maxArea,minPrice,maxPrice,minLeasePrice,maxLeasePrice,leasePerDealRate,isaleDealRestrictionCode,rebuildMembershipTransYn,livingResidenceYn,latitude,longitude
0,아파트,A01,자양10차현대홈타운,3344,245,6,20021030,79.4,148.35,120000,170000,0,0,0.0,N,N,N,37.53342,127.07042
0,아파트,A01,자양2차현대,102,235,1,19950422,71.91,101.83,98000,120000,52000,52000,0.0,N,N,N,37.534121,127.070484
0,아파트,A01,자양5차현대,907,270,3,19980624,78.32,149.94,87000,170000,70000,70000,0.0,N,N,N,37.528708,127.078788
0,아파트,A01,자양7차현대홈타운,3345,252,4,20010531,78.47,143.91,105000,140000,55000,55000,0.0,N,N,N,37.53302,127.06956
0,아파트,A01,자양8차현대홈타운,3347,257,5,20020508,108.33,140.48,127000,180000,72000,85000,0.0,N,N,N,37.533526,127.072292
0,아파트,A01,자양9차현대홈타운,3348,119,2,20020430,93.67,132.35,130000,160000,80000,80000,0.0,N,N,N,37.53412,127.069149
0,아파트,A01,자양명진센트라임(도시형),133915,27,1,20171227,39.53,44.04,0,0,0,0,0.0,N,N,N,37.536404,127.081862
0,아파트,A01,자양삼성,148133,10,1,20010406,66.51,92.38,0,0,0,0,0.0,N,N,N,37.528631,127.082181
0,아파트,A01,자양우성3차,93,464,7,19891230,71.03,102.58,100000,160000,60000,70000,0.0,N,N,N,37.536311,127.071645
0,아파트,A01,자양우성4차,94,66,1,19891228,88.77,104.29,115000,115000,0,0,0.0,N,N,N,37.535379,127.075764
0,아파트,A01,자양우성5차,95,80,1,19900712,102.41,102.41,120000,120000,65000,70000,0.0,N,N,N,37.534796,127.071562
0,아파트,A01,자양하늘채베르,140746,165,2,202302,64.51,81.58,90000,129000,0,0,0.0,N,N,N,37.532741,127.08427
0,아파트,A01,자양한양,100,444,6,19830527,118.18,174.58,162000,250000,53000,75000,0.0,N,N,N,37.532163,127.090977
0,아파트,A01,자양현대(645-5),2991,182,2,19930527,102.29,106.17,120000,150000,55000,63000,0.0,N,N,N,37.528158,127.082178
0,아파트,A01,자양현대3차,103,439,2,19961209,78.95,101.73,100000,150000,61000,70000,0.0,N,N,N,37.528249,127.083546
0,아파트,A01,자양훼미리,25664,12,1,20040810,70.91,95.36,60000,60000,0,0,0.0,N,N,N,37.531064,127.085186
0,아파트,A01,자양힐,17799,64,1,20050812,70.21,137.95,75000,127000,0,0,0.0,N,N,N,37.54013,127.081805
0,아파트,A01,진넥스빌,8809,19,1,20010409,128.89,228.39,0,0,0,0,0.0,N,N,N,37.530371,127.072613
0,아파트,A01,진연빌6차(도시형),151060,5,1,20220704,65.52,65.52,65500,65500,0,0,0.0,N,N,N,37.536089,127.0823
0,아파트,A01,참하우스토리(도시형),145148,14,1,20170118,34.01,69.24,0,0,0,0,0.0,N,N,N,37.537527,127.074912
0,아파트,A01,청정,24917,28,2,20031231,71.78,94.26,105000,105000,0,0,0.0,N,N,N,37.541016,127.063926
0,아파트,A01,청정팰리스(도시형),152402,40,4,20161226,52.64,70.92,0,0,0,0,0.0,N,N,N,37.537525,127.067998
0,아파트,A01,큐브스테이트(도시형),121818,20,1,20180518,20.02,30.43,0,0,0,0,0.0,N,N,N,37.536245,127.084757
0,아파트,A01,태원강변,9030,28,1,20020607,111.32,111.32,150000,150000,66000,66000,0.0,N,N,N,37.53047,127.07216
0,아파트,A01,태천해오름(주상복합),22955,18,1,20050503,56.19,93.04,0,0,0,0,0.0,N,N,N,37.53633,127.08226
0,아파트,A01,테라팰리스건대2차,123905,68,1,20181224,62.52,111.23,83000,120000,67000,67000,0.0,N,N,N,37.53831,127.078035
0,아파트,A01,테라팰리스건대2차(도시형),123902,10,1,20181224,65.79,66.07,72000,73000,0,0,0.0,N,N,N,37.538385,127.077624
0,아파트,A01,파라다이스리버빌,8823,18,1,20011031,184.27,222.53,185000,195000,0,0,0.0,N,N,N,37.53011,127.08861
0,아파트,A01,한강극동,85,158,2,19910808,102.91,103.02,115000,140000,50000,65000,0.0,N,N,N,37.533848,127.06448
0,아파트,A01,한강로얄,25723,19,1,20040922,106.97,138.61,117000,117000,0,0,0.0,N,N,N,37.532726,127.07064
0,아파트,A01,한강성원,86,140,1,19970808,80.29,113.59,98000,150000,60000,60000,0.0,N,N,N,37.533185,127.066049
0,아파트,A01,한강아남,2999,47,1,19951227,70.47,134.72,120000,120000,0,0,0.0,N,N,N,37.533348,127.065063
