,complexNo,complexName,cortarNo,realEstateTypeCode,realEstateTypeName,detailAddress,latitude,longitude,totalHouseholdCount,totalBuildingCount,highFloor,lowFloor,useApproveYmd,dealCount,leaseCount,rentCount,shortTermRentCount,cortarAddress,gu_cortarNo,gu_cortarName,dong_cartarName
53,106453,마블하우스,1168010800,APT,아파트,267-23,37.512389,127.042408,12.0,1.0,6.0,6.0,20030725,1.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
54,10825,마일스디오빌(주상복합),1168010800,APT,아파트,58-2,37.51379,127.02892,260.0,1.0,15.0,15.0,20041126,6.0,6.0,8.0,6.0,서울시 강남구 논현동,1168000000,강남구,논현동
55,151378,베스티움(도시형),1168010800,APT,아파트,224,37.510594,127.034227,15.0,1.0,5.0,4.0,20120824,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
56,103839,벨러스빌,1168010800,APT,아파트,47-11,37.512966,127.022639,10.0,1.0,5.0,5.0,20040729,0.0,1.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
57,105867,보노체아(도시형),1168010800,APT,아파트,193-4,37.508101,127.031525,22.0,1.0,5.0,4.0,20110919,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
58,151286,브라이튼N40(민간임대),1168010800,APT,아파트,40,37.514362,127.026587,148.0,5.0,10.0,5.0,20220610,26.0,14.0,2.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
59,151583,블레스홈(도시형),1168010800,APT,아파트,265-10,37.512593,127.040877,17.0,1.0,4.0,2.0,20120809,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
60,106267,비쥬힐,1168010800,APT,아파트,39-10,37.514834,127.027366,10.0,1.0,6.0,5.0,20031023,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
61,106667,삼성빌라트,1168010800,APT,아파트,79-5,37.516543,127.031359,19.0,1.0,7.0,6.0,19981022,3.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
62,152744,서진플로렌스190(도시형),1168010800,APT,아파트,190-1,37.508409,127.031117,19.0,1.0,6.0,5.0,20180905,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
63,18190,세호시티라이프(주상복합),1168010800,APT,아파트,122-25,37.510475,127.024334,19.0,1.0,5.0,3.0,19960322,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
64,107165,스위트캐슬,1168010800,APT,아파트,35-1,37.516456,127.028498,16.0,2.0,4.0,4.0,200307,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
65,105430,스위트케슬레지던스,1168010800,APT,아파트,55,37.512535,127.023889,17.0,1.0,6.0,1.0,20041223,3.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
66,103455,신동아,1168010800,APT,아파트,222-18,37.51024,127.034088,12.0,2.0,6.0,6.0,19961227,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
67,29,쌍용,1168010800,APT,아파트,103,37.519716,127.038185,111.0,1.0,12.0,9.0,19960724,6.0,14.0,5.0,1.0,서울시 강남구 논현동,1168000000,강남구,논현동
68,137269,아나하(도시형),1168010800,APT,아파트,247-1,37.514213,127.036847,16.0,1.0,5.0,5.0,20200616,4.0,9.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
69,141007,아츠논현(도시형),1168010800,APT,아파트,249-9,37.512201,127.036029,24.0,1.0,20.0,20.0,20231030,17.0,15.0,9.0,2.0,서울시 강남구 논현동,1168000000,강남구,논현동
70,108825,아크로힐스논현,1168010800,APT,아파트,276-1,37.509594,127.038948,368.0,4.0,30.0,16.0,20141208,22.0,14.0,13.0,7.0,서울시 강남구 논현동,1168000000,강남구,논현동
71,113911,알파임하우스Ⅱ,1168010800,APT,아파트,24-11,37.514256,127.023934,16.0,2.0,4.0,4.0,20020503,1.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
72,18191,애플타운(주상복합),1168010800,APT,아파트,16-42,37.515053,127.021164,19.0,1.0,6.0,4.0,20021018,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
73,148208,엔트라움논현(도시형),1168010800,APT,아파트,172-1,37.508269,127.028619,14.0,1.0,6.0,5.0,20211220,0.0,1.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
74,16236,예원베스트빌,1168010800,APT,아파트,229-21,37.509113,127.035188,8.0,1.0,4.0,4.0,20020513,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
75,142720,요진보네르,1168010800,APT,아파트,46-3,37.513054,127.022962,9.0,1.0,5.0,4.0,20030623,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
76,140981,우림빌(도시형),1168010800,APT,아파트,188-6,37.507402,127.029313,19.0,1.0,5.0,4.0,20130819,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
77,147626,우림스타빌(도시형),1168010800,APT,아파트,197-7,37.506228,127.026609,19.0,1.0,5.0,4.0,20160414,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
78,8774,우민,1168010800,APT,아파트,107-44,37.51787,127.03739,70.0,1.0,6.0,6.0,20020812,5.0,6.0,9.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
79,25173,우성,1168010800,APT,아파트,180-6,37.507577,127.028082,14.0,1.0,7.0,7.0,20040721,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
80,16231,월드노블레스빌,1168010800,APT,아파트,45,37.513538,127.023141,12.0,1.0,4.0,4.0,20011023,1.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
81,105458,월드쉐르빌,1168010800,APT,아파트,138-9,37.510284,127.026093,15.0,1.0,6.0,4.0,20030625,0.0,0.0,1.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
82,106262,은탑리더스카운티,1168010800,APT,아파트,44-6,37.513292,127.023902,18.0,1.0,7.0,6.0,20030814,4.0,0.0,1.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
83,103299,이산,1168010800,APT,아파트,194-22,37.507194,127.030722,10.0,1.0,6.0,4.0,20110429,2.0,4.0,1.0,1.0,서울시 강남구 논현동,1168000000,강남구,논현동
84,107144,이움,1168010800,APT,아파트,229-13,37.50924,127.034123,10.0,1.0,5.0,5.0,20050927,1.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
85,22667,제이빌,1168010800,APT,아파트,108-2,37.518118,127.037832,32.0,1.0,7.0,5.0,20040427,5.0,2.0,6.0,1.0,서울시 강남구 논현동,1168000000,강남구,논현동
86,24205,지고하임,1168010800,APT,아파트,44-8,37.513713,127.023693,33.0,2.0,7.0,7.0,20031029,5.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
87,151599,진흥펠리체(도시형),1168010800,APT,아파트,190-2,37.508478,127.031283,40.0,2.0,6.0,6.0,20151124,0.0,0.0,0.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
88,3042,청학,1168010800,APT,아파트,62-3,37.520645,127.032822,70.0,3.0,6.0,5.0,19761230,5.0,3.0,2.0,0.0,서울시 강남구 논현동,1168000000,강남구,논현동
89,103371,케럿스테이트,1168010800,APT,아파트,267-18,37.512657,127.042178,16.0,1.0,6.0,5.0,20040414,1.0,0.0,0.0,2.0,서울시 강남구 논현동,1168000000,강남구,논현동
